id,Geographic Area Name,Estimate Gini Index
0400000US01,Alabama,0.4758
0400000US02,Alaska,0.4175
0400000US04,Arizona,0.4676
0400000US05,Arkansas,0.4714
0400000US06,California,0.489
0400000US08,Colorado,0.4584
0400000US09,Connecticut,0.5005
0400000US10,Delaware,0.4494
0400000US11,District of Columbia,0.5224
0400000US12,Florida,0.4834
0400000US13,Georgia,0.4801
0400000US15,Hawaii,0.4325
0400000US16,Idaho,0.4541
0400000US17,Illinois,0.4765
0400000US18,Indiana,0.4455
0400000US19,Iowa,0.4433
0400000US20,Kansas,0.4597
0400000US21,Kentucky,0.4704
0400000US22,Louisiana,0.4902
0400000US23,Maine,0.4593
0400000US24,Maryland,0.4491
0400000US25,Massachusetts,0.4863
0400000US26,Michigan,0.4598
0400000US27,Minnesota,0.4539
0400000US28,Mississippi,0.476
0400000US29,Missouri,0.4628
0400000US30,Montana,0.4544
0400000US31,Nebraska,0.4352
0400000US32,Nevada,0.4427
0400000US33,New Hampshire,0.441
0400000US34,New Jersey,0.4757
0400000US35,New Mexico,0.477
0400000US36,New York,0.5111
0400000US37,North Carolina,0.4748
0400000US38,North Dakota,0.4664
0400000US39,Ohio,0.4637
0400000US40,Oklahoma,0.466
0400000US41,Oregon,0.4624
0400000US42,Pennsylvania,0.4686
0400000US44,Rhode Island,0.4827
0400000US45,South Carolina,0.4687
0400000US46,South Dakota,0.4468
0400000US47,Tennessee,0.4811
0400000US48,Texas,0.4827
0400000US49,Utah,0.4283
0400000US50,Vermont,0.4406
0400000US51,Virginia,0.4658
0400000US53,Washington,0.4542
0400000US54,West Virginia,0.4546
0400000US55,Wisconsin,0.4397
0400000US56,Wyoming,0.427
0400000US72,Puerto Rico,0.5472
